county,交易年,median_price
臺北市,2012-06-30,519199.03
臺北市,2013-06-30,553354.55
臺北市,2014-06-30,569139.75
臺北市,2015-06-30,547529.74
臺北市,2016-06-30,533490.0
新北市,2012-06-30,253318.49
新北市,2013-06-30,282300.45
新北市,2014-06-30,304050.96
新北市,2015-06-30,297687.29
新北市,2016-06-30,289164.94
基隆市,2012-06-30,95802.08
基隆市,2013-06-30,99623.59
基隆市,2014-06-30,111002.15
基隆市,2015-06-30,118879.87
基隆市,2016-06-30,119884.84
桃園市,2012-06-30,130182.4
桃園市,2013-06-30,141706.42
桃園市,2014-06-30,154780.86
桃園市,2015-06-30,153792.42
桃園市,2016-06-30,151306.47
新竹縣,2012-06-30,142975.85
新竹縣,2013-06-30,148706.45
新竹縣,2014-06-30,147141.16
新竹縣,2015-06-30,146770.91
新竹縣,2016-06-30,149144.47
新竹市,2012-06-30,139005.59
新竹市,2013-06-30,151815.56
新竹市,2014-06-30,163045.36
新竹市,2015-06-30,166384.22
新竹市,2016-06-30,161637.09
苗栗縣,2012-06-30,91015.29
苗栗縣,2013-06-30,93296.29
苗栗縣,2014-06-30,95691.34
苗栗縣,2015-06-30,100812.02
苗栗縣,2016-06-30,102859.97
臺中市,2012-06-30,127931.15
臺中市,2013-06-30,139273.35
臺中市,2014-06-30,150098.2
臺中市,2015-06-30,155109.79
臺中市,2016-06-30,154719.71
彰化縣,2012-06-30,94539.27
彰化縣,2013-06-30,97769.04
彰化縣,2014-06-30,105061.63
彰化縣,2015-06-30,112417.03
彰化縣,2016-06-30,111911.25
南投縣,2012-06-30,82142.52
南投縣,2013-06-30,80982.18
南投縣,2014-06-30,88590.48
南投縣,2015-06-30,91051.65
南投縣,2016-06-30,94912.82
雲林縣,2012-06-30,78421.84
雲林縣,2013-06-30,75074.72
雲林縣,2014-06-30,77220.18
雲林縣,2015-06-30,83524.34
雲林縣,2016-06-30,80750.78
嘉義縣,2012-06-30,73097.85
嘉義縣,2013-06-30,68919.32
嘉義縣,2014-06-30,69395.35
嘉義縣,2015-06-30,72107.76
嘉義縣,2016-06-30,74820.17
嘉義市,2012-06-30,80392.1
嘉義市,2013-06-30,83494.59
嘉義市,2014-06-30,89362.39
嘉義市,2015-06-30,92823.56
嘉義市,2016-06-30,96754.15
臺南市,2012-06-30,88929.33
臺南市,2013-06-30,98165.73
臺南市,2014-06-30,106294.69
臺南市,2015-06-30,109002.14
臺南市,2016-06-30,109570.74
高雄市,2012-06-30,118258.38
高雄市,2013-06-30,122334.43
高雄市,2014-06-30,126874.95
高雄市,2015-06-30,130663.4
高雄市,2016-06-30,129474.96
屏東縣,2012-06-30,67782.12
屏東縣,2013-06-30,64350.7
屏東縣,2014-06-30,69904.45
屏東縣,2015-06-30,76403.65
屏東縣,2016-06-30,78582.17
宜蘭縣,2012-06-30,103119.47
宜蘭縣,2013-06-30,109719.5
宜蘭縣,2014-06-30,126013.79
宜蘭縣,2015-06-30,136513.01
宜蘭縣,2016-06-30,140916.34
花蓮縣,2012-06-30,87686.35
花蓮縣,2013-06-30,98598.79
花蓮縣,2014-06-30,115445.14
花蓮縣,2015-06-30,132086.54
花蓮縣,2016-06-30,136230.36
臺東縣,2012-06-30,78673.08
臺東縣,2013-06-30,77848.28
臺東縣,2014-06-30,88064.86
臺東縣,2015-06-30,95798.78
臺東縣,2016-06-30,101084.75
澎湖縣,2012-06-30,84284.68
澎湖縣,2013-06-30,103104.6
澎湖縣,2014-06-30,105522.79
澎湖縣,2015-06-30,107397.17
澎湖縣,2016-06-30,100086.4
金門縣,2012-06-30,153473.42
金門縣,2013-06-30,156086.65
金門縣,2014-06-30,195498.4
金門縣,2015-06-30,197766.18
金門縣,2016-06-30,172491.68
連江縣,2012-06-30,97731.02
連江縣,2013-06-30,97731.02
連江縣,2014-06-30,97731.02
連江縣,2015-06-30,97731.02
連江縣,2016-06-30,97731.02
